Index, Value, PeakType, Avg.Filter, Std.Filter
   1,   0.1279, 0,   0.0000,   0.0000
   2,   3.7382, 0,   0.0000,   0.0000
   3,  21.4615, 0,   0.0000,   0.0000
   4,   1.5596, 0,   0.0000,   0.0000
   5,   0.4044, 0,   0.0000,   0.0000
   6,   0.5179, 0,   0.0000,   0.0000
   7,   1.1690, 0,   0.0000,   0.0000
   8,   0.2049, 0,   0.0000,   0.0000
   9,   0.2604, 0,   0.0000,   0.0000
  10, 154.6146, 0,   0.0000,   0.0000
  11,   0.2789, 0,  16.7579,  43.9995
  12,   0.2958, 0,  16.7732,  43.9938
  13,  16.3918, 0,  17.9235,  43.8029
  14,  15.7067, 0,  17.4004,  43.7919
  15,   5.0582, 0,  17.7184,  43.6883
  16,   3.3634, 0,  17.9874,  43.5899
  17,   0.0183, 0,  17.9420,  43.6083
  18,   1.2991, 0,  17.9538,  43.6038
  19,   0.4097, 0,  17.9724,  43.5962
  20,   5.1123, 0,  18.4135,  43.4391
  21,   0.5998, 0,   4.4122,   5.7735
  22,   0.9521, 0,   4.4734,   5.7328
  23,   5.8451, 0,   4.9779,   5.5852
  24,   0.0516, 0,   3.4924,   4.3990
  25,   0.1680, 0,   2.0798,   2.1903
  26,   0.5288, 0,   1.6680,   2.0100
  27,  15.9194, 1,   1.5502,   1.9441
  28,   0.4660, 0,   1.5909,   1.9161
  29,   0.9212, 0,   1.5566,   1.9244
  30,   1.2741, 0,   1.6352,   1.8933
  31,  12.1668, 1,   1.3853,   1.5720
  32,   5.6172, 0,   1.8414,   1.9584
  33,   4.5320, 0,   2.1668,   2.0774
  34,   0.9472, 0,   1.7216,   1.7386
  35,   3.5351, 0,   2.0383,   1.7227
  36,  11.2898, 1,   2.4149,   1.7255
  37,   1.4617, 0,   2.4997,   1.6521
  38,   6.7074, 0,   2.9214,   2.0357
  39,   7.1450, 0,   3.5286,   2.2020
  40,   2.1747, 0,   3.6426,   2.0939
  41,  13.1277, 1,   3.8240,   1.9632
  42,  38.3476, 1,   4.2253,   2.0718
  43,   0.2023, 0,   3.7331,   2.3120
  44,   1.4258, 0,   3.4507,   2.3857
  45,  15.8105, 1,   3.6250,   2.2633
  46,  30.0916, 1,   3.8115,   2.3317
  47,   4.7504, 0,   3.8515,   2.3437
  48,   0.3961, 0,   3.7546,   2.4596
  49,   5.9026, 0,   3.6815,   2.3814
  50,   1.5678, 0,   3.1744,   2.1748
  51,  21.3368, 1,   3.2990,   2.1531
  52,   2.8297, 0,   3.2590,   2.1574
  53,   0.6409, 0,   2.7011,   1.9597
  54,  23.8389, 1,   2.9518,   1.7933
  55, 619.4042, 1,   8.6954,  17.7644
  56,   1.0408, 0,   8.5296,  17.8264
  57,   2.5737, 0,   8.2557,  17.8925
  58,   0.4712, 0,   7.8667,  18.0107
  59,   0.9709, 0,   7.9189,  17.9897
  60,  16.3653, 0,   8.8701,  18.1340
  61,   0.1905, 0,   8.7449,  18.1887
  62,  70.8564, 1,   9.0824,  18.1234
  63,   0.1142, 0,   8.8355,  18.2251
  64,   0.0682, 0,   8.7834,  18.2492
  65,   0.7603, 0,   8.5834,  18.3238
  66,   0.4896, 0,   2.7547,   4.7363
  67,   1.2377, 0,   2.7726,   4.7302
  68,   0.3062, 0,   2.5665,   4.7835
  69,   5.7371, 0,   3.0452,   4.8132
  70,  30.6751, 1,   3.7052,   4.9785
  71,   0.0588, 0,   2.2228,   3.0374
  72,   0.2555, 0,   2.2287,   3.0335
  73,  20.6294, 1,   1.7774,   2.5884
  74,   7.6352, 0,   2.4611,   3.0167
  75,   1.9790, 0,   2.6348,   2.9276
  76,   0.6818, 0,   2.6277,   2.9322
  77,   5.1903, 0,   3.0550,   2.9320
  78,   1.1179, 0,   3.0441,   2.9390
  79,   5.7181, 0,   3.5361,   2.8921
  80,   0.0677, 0,   3.0207,   2.9583
  81,   1.2548, 0,   2.3865,   2.4830
  82, 536.7103, 1,   7.3631,  15.1873
  83,   0.5220, 0,   7.3873,  15.1761
  84,  11.8134, 0,   8.2528,  15.1323
  85,   1.6993, 0,   7.7132,  15.2501
  86,   0.4838, 0,   7.5772,  15.3072
  87,   0.4799, 0,   7.5589,  15.3155
  88,   0.3302, 0,   7.1170,  15.4470
  89,   1.0123, 0,   7.1075,  15.4508
  90,   4.2312, 0,   6.9723,  15.4689
  91,   1.8610, 0,   7.1353,  15.4045
  92,   3.6153, 0,   7.3499,  15.3374
  93,   0.0355, 0,   2.3713,   3.2600
  94,   0.0636, 0,   2.3296,   3.2862
  95,   3.2397, 0,   1.5502,   1.4457
  96,   5.4076, 0,   1.8873,   1.8240
  97,   0.0752, 0,   1.8501,   1.8561
  98,   1.2549, 0,   1.9206,   1.8171
  99,   0.8203, 0,   1.9652,   1.7832
 100,   0.3578, 0,   1.9057,   1.8245
 101,   0.0415, 0,   1.5248,   1.7343
 102,  31.1800, 1,   1.6424,   1.7960
 103,   0.0880, 0,   1.3218,   1.7287
 104,  24.2790, 1,   1.5465,   1.7074
 105,   0.6931, 0,   1.6037,   1.6668
 106,   1.2689, 0,   1.4245,   1.5853
 107,  13.5447, 1,   1.1599,   1.0513
 108,   0.0055, 0,   1.1535,   1.0580
 109, 117.3633, 1,   2.1068,   3.2250
 110,   0.1074, 0,   2.0420,   3.2572
 111,   0.0158, 0,   2.0109,   3.2747
 112,  37.9460, 1,   2.3534,   3.2477
 113,   3.4427, 0,   2.3796,   3.2552
 114,   0.7603, 0,   2.4407,   3.2177
 115,  12.4679, 1,   2.3883,   3.2209
 116,   6.2654, 0,   2.8949,   3.3500
 117,   0.3591, 0,   2.8122,   3.4000
 118,  28.0723, 1,   2.8698,   3.3995
 119,   7.0656, 0,   3.5116,   3.4640
 120,  77.3436, 1,   3.7255,   3.9970
 121,  24.0681, 1,   5.0876,   4.9673
 122,   9.8006, 0,   5.9771,   4.8542
 123,   7.0846, 0,   6.2749,   4.8123
 124,   0.6173, 0,   6.0181,   5.0272
 125,   6.0908, 0,   6.5027,   4.7461
 126,   0.7837, 0,   6.3983,   4.8568
 127,   0.7512, 0,   5.8971,   5.1220
